dog_id,tbp_anaplasma,tbp_mycoplasma,tbp_ecanis,tbp_bgibsoni,tbp_bvogeli,tbp_hcanis,tbp_infecnum,tbp_infstat,tbp_comb,sam_date,sam_country,sam_long,sam_lat,dog_clinic,sam_avrf,sam_popdensity,sam_popdensitygrp,sam_rainfall,sam_precipitation,sam_temp_min,sam_temp_max,sam_temp_av,sam_rh_night,sam_rh_day,sam_daysrain,sam_temp,dog_clinic_type,dog_province,dog_zone,dog_breedgrp,dog_breed,dog_age_mo,dog_agegrp,dog_sex,dog_neuterstat,hx_exint,hx_cough,hx_dyspnoea,hx_dyspnoea_fq,hx_skin,hx_weightloss,hx_tkfvr,hx_epistaxis,hx_seizure,dog_dewrmed,dw_last,dw_type,dw_drug,dw_fq,dog_tkrx,tk_last,tk_fq,tk_roa,tk_topical,tk_systemic,tk_drug,tk_proper,tk_fqproper,tk_properlast,tk_anyproper,dog_condition,dog_bcs,dog_temp,cs_pyrexia,cs_eyes,cs_eyes_data,cs_ears,cs_ears_data,cs_nares,cs_nares_data,cs_mucsmem,cs_ln,cs_neuro,cs_breath,cs_urt,cs_sphep,cs_vomitdia,cs_appetite,cs_ascites,sk_nodules,sk_growths,sk_erythema,sk_pruritis,sk_hyperpig,sk_thick,sk_alopecia,sk_subcut,sk_dx,sk_magwound,sk_tick,sk_flea,sk_lice,sk_ecto,sk_wound,dog_zone2
C001,0,0,0,0,0,1,1,1,H,29-May-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",216.8166649,"3,438",1,220.4,593.800004,26.8,33.2,30,86,74.1,14,27.97,1,5,1,1,pom,12,2,0,0,0,0,0,0,0,0,0,0,0,1,17.14285714,1,1,3,1,64.28571429,dn,dn,na,na,dn,0,0,0,0,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,1,0,1,0,2
C002,0,0,0,0,0,1,1,1,H,30-May-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",216.8166649,"3,438",1,220.4,593.800004,26.8,33.2,30,86,74.1,14,27.97,1,5,1,2,local,168,6,0,1,0,1,0,0,1,0,1,0,0,1,17.14285714,1,1,3,1,64.28571429,3,1,spoton,na,1,0,0,0,0,3,4,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,1,1,1,1,0,normal,0,0,1,0,0,1,0,1,0,2
C003,1,0,0,0,0,1,2,1,AH,30-May-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",216.8166649,"3,438",1,220.4,593.800004,26.8,33.2,30,86,74.1,14,27.97,1,5,1,2,local,24,3,1,0,0,0,0,0,1,0,1,0,0,1,12.85714286,1,1,dn,1,2,3,3,spoton,inject,"1,2",1,0,1,1,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,1,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,0,1,1,0,2
C004,0,0,0,0,1,0,1,1,V,30-May-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",216.8166649,"3,438",1,220.4,593.800004,26.8,33.2,30,86,74.1,14,27.97,1,5,1,1,dob,36,4,1,0,0,0,0,0,0,1,1,0,0,1,12.85714286,1,1,3,1,21.42857143,3,3,spoton,inject,"1,2",1,0,0,0,1,1,na,na,0,na,0,na,0,na,3,0,0,0,0,1,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,0,1,1,0,2
C005,0,0,1,1,0,0,2,1,EG,15-Jun-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",178.8166657,"3,438",1,108.9,725.7000028,26.9,32.6,29.75,83.4,72.8,3,27.54,1,5,1,2,local,unknwn,na,1,0,0,0,0,0,0,0,na,na,na,1,8.571428571,1,1,3,0,na,na,na,na,na,na,0,0,0,0,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
C006,0,0,0,1,0,0,1,1,G,11-Jun-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",178.8166657,"3,438",1,108.9,725.7000028,26.9,32.6,29.75,83.4,72.8,3,27.54,1,5,1,1,pom,24,3,1,0,0,0,0,0,0,0,0,0,0,1,12.85714286,1,1,3,0,na,na,na,na,na,na,0,0,0,0,3,2,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
C007,1,0,0,0,1,0,2,1,AV,20-Jun-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",178.8166657,"3,438",1,108.9,725.7000028,26.9,32.6,29.75,83.4,72.8,3,27.54,1,5,1,1,gs,36,4,1,0,0,0,0,0,1,1,1,0,0,1,25.71428571,1,1,dn,1,25.71428571,3,1,solution,na,4,0,0,0,0,1,2,na,na,0,na,0,na,0,na,1,0,0,0,0,1,na,na,0,0,0,0,1,0,normal,1,0,1,0,1,1,1,1,0,2
C008,1,0,0,0,1,0,2,1,AV,29-Jun-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",178.8166657,"3,438",1,108.9,725.7000028,26.9,32.6,29.75,83.4,72.8,3,27.54,1,5,1,1,lab,24,3,1,0,0,0,0,0,1,0,0,0,0,1,12.85714286,1,1,3,1,25.71428571,4,2,na,oral,3,0,0,0,0,2,4,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,1,normal,1,0,1,0,0,1,0,1,0,2
C009,0,0,0,0,1,0,1,1,V,1-Jul-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",211.6714299,"3,438",1,282,388.5000005,26.1,31.8,28.95,85.9,75.8,20,27.36,1,5,1,2,local,6,2,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,1,3,7,2,na,oral,3,0,0,1,1,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,1,0,1,0,2
C011,1,1,0,1,0,0,3,1,AMG,7-Jun-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",178.8166657,"3,438",1,111.9,178.8166657,26.6,31.3,28.95,84.2,75.9,6,27.54,1,5,1,2,local,12,2,0,0,0,0,0,0,1,0,0,0,0,1,21.42857143,dn,8,5,0,na,na,na,na,na,na,0,0,0,0,2,2,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,1,0,normal,0,0,1,0,1,1,0,1,0,2
